Page Title,Page Sub Title,Previous Page URL,Filter By Topics,Filter by Date,-,-,-
Gujarati,,,,,Aapurva Svar-Shruti Sfuran-Dhara futtya fuvara,"અપૂર્વ સ્વર-શ્રુતી સ્ફૂરણ-ધારા, ફૂટ્યાં ફૂવારા",http://s768147321.onlinehome.us/DadaReact/PD/page_0556.pdf
Gujarati,,,,easy to sing,"Antar Saiyam, Nirmal hirday Dada Ehva","અંતર સંયમ, નીરમલ હીરદય દાદા એવાં",http://s768147321.onlinehome.us/DadaReact/PD/page_0557.pdf
Gujarati,,,,,"Sangameshwar, Sachchidanand, Shuddh Anand","સંગમેશ્વર, સચ્ચિદાનંદ, શુદ્ધ આનંદ",http://s768147321.onlinehome.us/DadaReact/PD/page_0558.pdf
Gujarati,,,,,Dada Bhagwan Murtamurt Pranam,દાદા ભગવાન મૂર્તામૂર્ત પ્રણામ,http://s768147321.onlinehome.us/DadaReact/PD/page_0559.pdf
Gujarati,,,,,"Ame Kahovayi Shesh, Tame Sat-Avashesh","અમે કહોવાઈ શેષ, તમે સત-અવશેષ",http://s768147321.onlinehome.us/DadaReact/PD/page_0560.pdf
Gujarati,,,,,He Dada A-Karta Kirtar,હે દાદા અ-કર્તા કિરતાર,http://s768147321.onlinehome.us/DadaReact/PD/page_0561.pdf
Gujarati,,,,janma jayanthi,Bhadaran Gomano Re Danko Vagyo,ભાદ્રણ ગોંમનો રે ડંકો વાગ્યો,http://s768147321.onlinehome.us/DadaReact/PD/page_0563.pdf
Gujarati,,,,PT,Aa Kho Dado Tamari Yaadma,"આ ....ખો દા'ડો તમારી યાદમાં",http://s768147321.onlinehome.us/DadaReact/PD/page_0565.pdf
Gujarati,,,,,"Bhadaravana Bhinda Jyare, Bahu Jorma Ave Re","ભાદરવાના ભીંડા જ્યારે, બહુ જોરમાં આવે રે",http://s768147321.onlinehome.us/DadaReact/PD/page_0567.pdf
Gujarati,,,,easy to sing,"Dada, Dada Bolu Ne Nijatma J Maheke","દાદા, દાદા બોલું ને નીજાત્મા જ મહેંકે",http://s768147321.onlinehome.us/DadaReact/PD/page_0571.pdf
Gujarati,,,,easy to sing,Dada Bhagwan Vina Kashu J Khape N Ho,દાદા ભગવાન વિના કશું જ ખપે ન હો ,http://s768147321.onlinehome.us/DadaReact/PD/page_0573.pdf
Gujarati,,,,,Aakhiye Duniya - Divado Dadaae,"દીવડો, ' દાદા'એ પ્રગટાયો (છેલ્લી નવી કડી સાથે)",http://s768147321.onlinehome.us/DadaReact/PD/page_0574.pdf
Gujarati,,,,garba,"Divdo, ' Dada'E Pragtayo","દીવડો, ' દાદા'એ પ્રગટાયો (છેલ્લી નવી કડી સાથે)",http://s768147321.onlinehome.us/DadaReact/PD/page_0574.pdf
Gujarati,,,,PT-easy to sing,"Jagatbharni Vismruti, Ekaj Aap Smruti","જગતભરની વિસ્મૃતિ, એકજ આપ સ્મૃતિ",http://s768147321.onlinehome.us/DadaReact/PD/page_0575.pdf
Gujarati,,,,easy to sing,"Chintamani 'Aa' Ratna Prakashman","ચીંતામણી 'આ' રત્ન પ્રકાશમાન",http://s768147321.onlinehome.us/DadaReact/PD/page_0577.pdf
Gujarati,,,,easy to sing,Varshe Dada Kirapa Karunadhar Jo,વર્ષે દાદા કીરપા કરૂણાધાર જો,http://s768147321.onlinehome.us/DadaReact/PD/page_0579.pdf
Gujarati,,,,,Varas Aho Dada Na Shurvirta,"વારસ અહો! દાદાનાં, શૂરવીરતા",http://s768147321.onlinehome.us/DadaReact/PD/page_0581.pdf
Gujarati,,,,easy to sing,He Aatam Swa-kalyan,હે આતમ સ્વ-કલ્યાણ,http://s768147321.onlinehome.us/DadaReact/PD/page_0582.pdf
Gujarati,,,,janma jayanthi-easy to sing,Varshi Vasundhara Garvi Gujaratama,વરસી વસુંધરા ગરવી ગુજરાતમાં,http://s768147321.onlinehome.us/DadaReact/PD/page_0583.pdf
Gujarati,,,,janma jayanthi,"Laage Chhe 'Dada' Aavi Gaya Chhe","લાગે છે 'દાદા' આવી ગયા છે",http://s768147321.onlinehome.us/DadaReact/PD/page_0584.pdf
Gujarati,,,,,"Ahi ""Aa"" Sambharun Ne Pugi Jay Tamne","અહીં 'આ' સંભારું ને પૂગી જાય તેમને",http://s768147321.onlinehome.us/DadaReact/PD/page_0586.pdf
Gujarati,,,,easy to sing,"Sarvasva Amaru Arpan Chhe, Bhagwan Tamara","સર્વસ્વ અમારૂં અર્પણ છે, ભગવાન તમારા",http://s768147321.onlinehome.us/DadaReact/PD/page_0591.pdf
Gujarati,,,,,"Sarvasva Amaru Arpan Chhe, Bhagwan Tamara","સર્વસ્વ અમારૂં અર્પણ છે, ભગવાન તમારા",http://s768147321.onlinehome.us/DadaReact/PD/page_0591.pdf
Gujarati,,,,,"Nagar, Gali Ne Sheri-Chaute Gunjan Ekaj Naam","નગર, ગલી ને શેરી-ચૌટે ગુંજન એકજ નામ",http://s768147321.onlinehome.us/DadaReact/PD/page_0592.pdf
Gujarati,,,,easy to sing,"kot Topi Vale, Dadaji Hamare, Hum Hai Tumhare","કોટ ટોપી વાલે, દાદાજી હમારે, હમ હૈ તુમ્હારે",http://s768147321.onlinehome.us/DadaReact/PD/page_0594.pdf
Gujarati,,,,,"kot Topi Vale, Dadaji Hamare, Hum Hai Tumhare","કોટ ટોપી વાલે, દાદાજી હમારે, હમ હૈ તુમ્હારે",http://s768147321.onlinehome.us/DadaReact/PD/page_0594.pdf
Gujarati,,,,gurupurnima,"Niche Namine Namaskar Karu Chhu, Mara Topiwala","નીચે નમીને નમસ્કાર કરું છું, મારા ટોપીવાળા",http://s768147321.onlinehome.us/DadaReact/PD/page_0595.pdf
Gujarati,,,,garba,Ambe matana Lalane Bandhu Rakhdi Re,અંબે માતાના લાલાને બાંધું રાખડી રે,http://s768147321.onlinehome.us/DadaReact/PD/page_0596.pdf
Gujarati,,,,,"Asee Paghe Lagota Re, Dada Bhagawan Ke Re","અસીં પગે લગોતા રે, દાદા ભગવાન કે રે",http://s768147321.onlinehome.us/DadaReact/PD/page_0597.pdf
Gujarati,,,,gurupurnima-garba,"Dham, Dham, Dham, Dham Dholka Vage","ઢમ, ઢમ, ઢમ, ઢમ ઢોલકાં વાગે",http://s768147321.onlinehome.us/DadaReact/PD/page_0598.pdf
Gujarati,,,,gurupurnima,"Shudhatma'na Sva-Par Darshan Manekthari Nithye","શુદ્ધાત્મા'નાં સ્વ-પર દર્શન માણેકઠારી નિત્યે",http://s768147321.onlinehome.us/DadaReact/PD/page_0601.pdf
Gujarati,,,,easy to sing,"Bharat Bhome, Pragat Aatma Vyakta Dada Bhagwan","ભારત ભોમે, પ્રગટ આત્મ વ્યક્તા દાદા ભગવાન",http://s768147321.onlinehome.us/DadaReact/PD/page_0602.pdf
Gujarati,,,,easy to sing,Dada Bhagwan Paase Jhadu Abhed Eva,દાદા ભગવાન પાસે જાદુ-અભેદ એવાં,http://s768147321.onlinehome.us/DadaReact/PD/page_0603.pdf
Gujarati,,,,,Dada Bhagwanko Sakshi Mai Rakhte,"દાદા ભગવાનકો સાક્ષીમેં રખકે, સીમંધર સ્વામી કો",http://s768147321.onlinehome.us/DadaReact/PD/page_0604.pdf
Gujarati,,,,,Jivanmuktashtkam (Stuti),જીવનમૂક્તાસ્ત્કમ (સ્તુતિ),http://s768147321.onlinehome.us/DadaReact/PD/page_0607.pdf
Gujarati,,,,,Samruddham Saubhagyam (Jivanmuktashtkam),સમૃદ્ધં સૌભાગ્યમ્‌ (જીવનમૂક્તાસ્ત્કમ - સ્તુતિ),http://s768147321.onlinehome.us/DadaReact/PD/page_0607.pdf
Gujarati,,,,,Stuti - Jivanmuktashtkam,સ્તુતિ - જીવનમૂક્તાસ્ત્કમ,http://s768147321.onlinehome.us/DadaReact/PD/page_0607.pdf
Gujarati,,,,easy to sing,"Hun Dada Bhagwanne Re, Vandan Karu Chhu Re","હું દાદા ભગવાનને રે, વંદન કરું છું રે",http://s768147321.onlinehome.us/DadaReact/PD/page_0611.pdf
Gujarati,,,,,Najaru Milavasho Khovai Jasho,નજરું મીલવશો ખોવાઈ જાશો,http://s768147321.onlinehome.us/DadaReact/PD/page_0612.pdf
Gujarati,,,,,Saune Lage Mahra Chhe,સૌને લાગે મ્હારા છે,http://s768147321.onlinehome.us/DadaReact/PD/page_0613.pdf
Gujarati,,,,,"Jay Sachchidanand, Mul Aadi Jinand","જય સચ્ચિદાનંદ, મૂળ આદિ જીણંદ",http://s768147321.onlinehome.us/DadaReact/PD/page_0615.pdf
Gujarati,,,,easy to sing,Apne Radaye Ke Kinvad Kholo,અપને હ્રીદય કે કીંવાડ ખોલો,http://s768147321.onlinehome.us/DadaReact/PD/page_0616.pdf
Gujarati,,,,SS-easy to sing,Ami-Jarna Chaud-Loki Prakash,"અમી-ઝરણાં ચૌદ-લોકી, પ્રકાશક",http://s768147321.onlinehome.us/DadaReact/PD/page_0618.pdf
Gujarati,,,,PT,Oganiso Aaththi Aththyasini Sharuwat,ઓગણીસો આઠથી અઠ્ઠયાસીની શરૂઆત,http://s768147321.onlinehome.us/DadaReact/PD/page_0619.pdf
Gujarati,,,,gb,Avatarona Janma Purve Paraptar Hata Je,અવતારોના જન્મ પૂર્વે પરાત્પર હતા જે,http://s768147321.onlinehome.us/DadaReact/PD/page_0621.pdf
Gujarati,,,,janma jayanthi-easy to sing,"Jagat Kalyane Kaje, Ame Dhariyh O Chhe Dada Bhekh","જગત કલ્યાણને કાજે, અમે ધરીય ઓ  છે દાદા ભેખ",http://s768147321.onlinehome.us/DadaReact/PD/page_0622.pdf
Gujarati,,,,easy to sing,"Shudhatma Joine, Shudhatma Thavani Dada","શુદ્ધાત્મા જોઈને, શુદ્ધાત્મા થાવાની દાદા",http://s768147321.onlinehome.us/DadaReact/PD/page_0623.pdf
Gujarati,,,,easy to sing,Anupam Murti Ghade Dada Bhagawan,અનુપમ મૂર્તિ ઘડે દાદા ભગવાન,http://s768147321.onlinehome.us/DadaReact/PD/page_0624.pdf
Gujarati,,,,easy to sing,Mandir He Mukti Sukha,મંદિર હે મુક્તિ સુખા,http://s768147321.onlinehome.us/DadaReact/PD/page_0627.pdf
Gujarati,,,,gurupurnima-easy to sing,"Mangal-May Tuj Naam, Abhed Chetan Dham","મંગલ-મય તુજ નામ, અભેદ ચેતન ધામ",http://s768147321.onlinehome.us/DadaReact/PD/page_0628.pdf
Gujarati,,,,PT,"Keval Premni Jivti-Murti, Gnanipurushni","કેવળ પ્રેમની જીવતી-મૂર્તી, જ્ઞાનીપુરૂષની",http://s768147321.onlinehome.us/DadaReact/PD/page_0630.pdf
Gujarati,,,,easy to sing,Pragat Purush Maha Muktatma,પ્રગટ પુરૂષ મહા મુક્તાત્મા,http://s768147321.onlinehome.us/DadaReact/PD/page_0632.pdf
Gujarati,,,,easy to sing,"Valtarni Echha Vina, Lutave Mokshaj","વળતરની ઈચ્છા વીના, લૂંટાવે મોક્ષજ",http://s768147321.onlinehome.us/DadaReact/PD/page_0634.pdf
Gujarati,,,,easy to sing,Chovis Tirthankarna Bhega Swaroop Hai Dada,ચોવીશ તીર્થંકરનાં ભેગાં સ્વરૂપ હે દાદા,http://s768147321.onlinehome.us/DadaReact/PD/page_0635.pdf
Gujarati,,,,PT,Vhalam Tari Khot Purati Nathi,વ્હાલમ તારી ખોટ પુરાતી નથી,http://s768147321.onlinehome.us/DadaReact/PD/page_0638.pdf
Gujarati,,,,gurupurnima-easy to sing,"Nikhalash Hashya Je Hrudiye, Vina","નિખાલ્લસ હાસ્ય જે હ્રુદિયે, વિના",http://s768147321.onlinehome.us/DadaReact/PD/page_0639.pdf
Gujarati,,,,,"Akram 'Ambalal Nu', Pamyo Gnan-Anant","અક્રમ 'અંબાલાલનું', પામ્યો જ્ઞાન-અનંત",http://s768147321.onlinehome.us/DadaReact/PD/page_0641.pdf
Gujarati,,,,easy to sing,"Aavya Aavya Aaj Re, Avasar","આવ્યાં આવ્યાં આજ રે, અવસર",http://s768147321.onlinehome.us/DadaReact/PD/page_0647.pdf
Gujarati,,,,easy to sing-garba,"Juo, Satsangnu Mahatam Samjaay Chhe","જુઓ, સતસંગનું મહાતમ સમજાય છે",http://s768147321.onlinehome.us/DadaReact/PD/page_0648.pdf
Gujarati,,,,,"Gnan Panch Aagnama, Aagna Panch Gnan-Diksha","જ્ઞાન પાંચ આજ્ઞામાં, આજ્ઞા પાંચ જ્ઞાન-દીક્ષા",http://s768147321.onlinehome.us/DadaReact/PD/page_0649.pdf
Gujarati,,,,easy to sing,Aa Shrimukhamathi Niklela,આ શ્રીમુખમાંથી નીકળેલાં,http://s768147321.onlinehome.us/DadaReact/PD/page_0651.pdf
Gujarati,,,,,"Je Sutro, Apt-Shrimukhe, jarya (gazal)","જે સુત્રો, આપ્ત-શ્રીમુખે, ઝર્યા (ગઝલ)",http://s768147321.onlinehome.us/DadaReact/PD/page_0653.pdf
Gujarati,,,,PT,Yad Raheshe Dadaji Saune Yad Rehshe,યાદ રહેશે દાદાજી સૌને યાદ રહેશે,http://s768147321.onlinehome.us/DadaReact/PD/page_0654.pdf
Gujarati,,,,gurupurnima,"Ekaj Dharma Chhe Aavnima, 'Dada' Ho Maan-Mandirma","એકજ ધર્મ છે અવનીમાં, 'દાદા' હો મન-મંદિરમાં",http://s768147321.onlinehome.us/DadaReact/PD/page_0656.pdf
Gujarati,,,,gurupurnima,"Ekaj Dharma Chhe Aavnima, 'Dada' Ho Maan-Mandirma","એકજ ધર્મ છે અવનીમાં, 'દાદા' હો મન-મંદિરમાં",http://s768147321.onlinehome.us/DadaReact/PD/page_0656.pdf
Gujarati,,,,easy to sing,Dada Bhagwan Keri Anupam Deshna,દાદા ભગવાન કેરી અનુપમ દેશના,http://s768147321.onlinehome.us/DadaReact/PD/page_0658.pdf
Gujarati,,,,easy to sing,Dada Dur Chhata Pase Lage Chhe,દાદા દૂર છતાં પાસે લાગે છે,http://s768147321.onlinehome.us/DadaReact/PD/page_0660.pdf
Gujarati,,,,easy to sing-garba,"Dadana Darshan Pamshe, Teno Safal Thashe","દાદાનાં દર્શન પામશે, તેનો સફળ થશે",http://s768147321.onlinehome.us/DadaReact/PD/page_0661.pdf
Gujarati,,,,janma jayanthi,Dadani Punye Jova Umatshe Manav Mela,દાદાની પુણ્યૈ જોવા ઊમટશે માનવ મેળા,http://s768147321.onlinehome.us/DadaReact/PD/page_0662.pdf
Gujarati,,,,easy to sing,"Dada Bhagwan Che (2), Vitaragi Velnu","દાદા ભગવાન છે (૨), વીતરાગી વેલનું",http://s768147321.onlinehome.us/DadaReact/PD/page_0667.pdf
Gujarati,,,,,Bhavyo Ya Abhavyo Pratye,ભવ્યો યા અભવ્યો પ્રત્યે,http://s768147321.onlinehome.us/DadaReact/PD/page_0671.pdf
Gujarati,,,,,"Je Aaptsutro, Nikalya Shrimukhe, jarya","જે આપ્તસુત્રો, નીકળ્યાં શ્રીમુખે, ઝર્યાં",http://s768147321.onlinehome.us/DadaReact/PD/page_0672.pdf
Gujarati,,,,,"Aayo (3) Aayo Re, Kshin-Moh-Jineshwar Aayo","આયો (૩) આયો રે, ક્ષીણ-મોહ-જીનેશ્વર આયો",http://s768147321.onlinehome.us/DadaReact/PD/page_0674.pdf
Gujarati,,,,,"Dadana Darbare, Haste Moksh Manashe","દાદાના દરબારે, હસ્તે મોક્ષ મણાશે",http://s768147321.onlinehome.us/DadaReact/PD/page_0675.pdf
Gujarati,,,,,Dadashrinu Naam J Laine,દાદાશ્રીનું નામ જ લઈને,http://s768147321.onlinehome.us/DadaReact/PD/page_0676.pdf
Gujarati,,,,easy to sing,"Moksh Male Chhe 'Niyam'thi","મોક્ષ મળે છે 'નિયમ'થી",http://s768147321.onlinehome.us/DadaReact/PD/page_0677.pdf
Gujarati,,,,,"Moksh Male Chhe 'Niyam'thi","મોક્ષ મળે છે 'નિયમ'થી",http://s768147321.onlinehome.us/DadaReact/PD/page_0677.pdf
Gujarati,,,,gurupurnima,Dada Bhagwan Mukt Purush,દાદા ભગવાન મુક્ત પુરુષ,http://s768147321.onlinehome.us/DadaReact/PD/page_0680.pdf
Gujarati,,,,gurupurnima,Keval Satt Guru Brahma Vishnu,કેવળ સત્‌ગુરૂ બ્રહ્મા વિષ્ણુ,http://s768147321.onlinehome.us/DadaReact/PD/page_0680.pdf
Gujarati,,,,,Maghamaghata Man-Vanama Nityakuri Mogara,મઘમઘતા મન-વનમાં નિત્યાકુરી મોગરા,http://s768147321.onlinehome.us/DadaReact/PD/page_0682.pdf
Gujarati,,,,,Abhaydan Mahadan - Dada Bhagawanna (Sutro),"અભયદાન મહાદાન છે, વર્તે 'અક્રમ'",http://s768147321.onlinehome.us/DadaReact/PD/page_0683.pdf
Gujarati,,,,,"Man, Vach, Kayathi Taddan Juddo Ehvo","મન, વચ, કાયાથી તદ્દન જુદો એવો",http://s768147321.onlinehome.us/DadaReact/PD/page_0685.pdf
Gujarati,,,,easy to sing,"A. M. Patel Rupi mandir, Je","એ. એમ. પટેલ રૂપી મંદિર, જે",http://s768147321.onlinehome.us/DadaReact/PD/page_0687.pdf
Gujarati,,,,,"A. M. Patel Rupi mandir, Je","એ. એમ. પટેલ રૂપી મંદિર, જે",http://s768147321.onlinehome.us/DadaReact/PD/page_0687.pdf
Gujarati,,,,gurupurnima,"Taran Darshan Na Diwana, Tari Mastima Mastana","તારાં દર્શનનાં દીવાનાં, તારી મસ્તીમાં મસ્તાના",http://s768147321.onlinehome.us/DadaReact/PD/page_0692.pdf
Gujarati,,,,,Chatakne Meighani Preet Puratan,ચાતકને મેઘની પ્રીત પુરાતન,http://s768147321.onlinehome.us/DadaReact/PD/page_0693.pdf
Gujarati,,,,,Aado Mal Bharyo Chhe Andar,આડો માલ ભર્યો છે અંદર,http://s768147321.onlinehome.us/DadaReact/PD/page_0694.pdf
Gujarati,,,,,"Zadapilo Ghodo Atke Chhe, Tya Atkan Jo","ઝડપીલો ઘોડો અટકે છે, ત્યાં અટકણ જો",http://s768147321.onlinehome.us/DadaReact/PD/page_0696.pdf
Gujarati,,,,,"Sachchidanand (2), 'Dada'-Mukhathi jharta Mantre","સચ્ચિદાનંદ (૨), 'દાદા'-મુખથી ઝરતા મંત્રે",http://s768147321.onlinehome.us/DadaReact/PD/page_0698.pdf
Gujarati,,,,,Jugnu Ki Jarur Nahi,જુગનું કી જરૂર નહીં,http://s768147321.onlinehome.us/DadaReact/PD/page_0699.pdf
Gujarati,,,,easy to sing-garba,"Nahi Chhodu, Dadaji Tamane","નહિં છોડું, દાદાજી તમને",http://s768147321.onlinehome.us/DadaReact/PD/page_0701.pdf
Gujarati,,,,easy to sing,"Bheli Jamatu Avale Havali, Undha Rasta Batlave","ભેળી જમાતું અવળે હવળી, ઊંધા રસ્તા બતલાવે",http://s768147321.onlinehome.us/DadaReact/PD/page_0703.pdf
Gujarati,,,,easy to sing,Hu Tari Mahi Baisi Gyo Chhu,હું તારી મહીં બેસી ગ્યો છું,http://s768147321.onlinehome.us/DadaReact/PD/page_0705.pdf
Gujarati,,,,,Janma Pehla Chalto Ne Mua Pichhe Chalshe,જન્મ પહેલાં ચાલતો ને મૂઆ પીછે ચાલશે,http://s768147321.onlinehome.us/DadaReact/PD/page_0706.pdf
Gujarati,,,,easy to sing,Dada Bhagwannu Sahej Samaran,દાદા ભગવાનનું સહેજ સમરણ,http://s768147321.onlinehome.us/DadaReact/PD/page_0709.pdf
Gujarati,,,,,"Taran-Taaranhar, Amurt Bhagawan","તરણ-તારણહાર, અમૂર્ત ભગવાન",http://s768147321.onlinehome.us/DadaReact/PD/page_0711.pdf
Gujarati,,,,,"He 'Dadashri' Param Krupalu ","હે 'દાદાશ્રી' પરમ કૃપાળુ",http://s768147321.onlinehome.us/DadaReact/PD/page_0712.pdf
Gujarati,,,,,"Dada Bhagwan (2), He Akram Margna Vignan","દાદા ભગવાન (૨), હે અક્રમ માર્ગનાં વિજ્ઞાન",http://s768147321.onlinehome.us/DadaReact/PD/page_0715.pdf
Gujarati,,,,,Antim-Hetu-Sidhdhrak-Vani Hoy J,અંતીમ-હેતુ-સિદ્ધક-વાણી હોય જ,http://s768147321.onlinehome.us/DadaReact/PD/page_0716.pdf
Gujarati,,,,,Pratyaksh Dada Bhagwanni … Tirthankar Sahebone,પ્રત્યક્ષ દાદા ભગવાનની સાક્ષીએ તિર્થંકર સાહેબોને,http://s768147321.onlinehome.us/DadaReact/PD/page_0717.pdf
Gujarati,,,,gurupurnima-PT,"Jya Sudhi Dada Jaate, Hoy Tya Sudhi Chhe","જ્યાં સુધી દાદા જાતે, હોય ત્યાં સુધી છે",http://s768147321.onlinehome.us/DadaReact/PD/page_0719.pdf
Gujarati,,,,,Bharat Bhaumik Su-Darashananu,ભારત ભૌમિક સુ-દર્શનનું,http://s768147321.onlinehome.us/DadaReact/PD/page_0720.pdf
Gujarati,,,,gurupurnima,Gurupurnima Chhe Aatmani,ગુરૂપૂર્ણિમા છે આત્માની,http://s768147321.onlinehome.us/DadaReact/PD/page_0721.pdf
Gujarati,,,,,"Dadayi Yugnirman, Sahe N Brashtachar","દાદાઈ યુગનિર્માણ, સહે ન ભ્રષ્ટાચાર",http://s768147321.onlinehome.us/DadaReact/PD/page_0722.pdf
Gujarati,,,,janma jayanthi,"Farfar, Farfar Dwaj Farke Chhe","ફરફર, ફરફર ધ્વજ ફરકે છે",http://s768147321.onlinehome.us/DadaReact/PD/page_0723.pdf
Gujarati,,,,,"A-ghat Sneh De, Shanti De","અ-ઘટ સ્નેહ દે, શાંતિ દે",http://s768147321.onlinehome.us/DadaReact/PD/page_0724.pdf
Gujarati,,,,,"Jagatne Lage Je Pratikul, Amone","જગતને લાગે જે પ્રતિકૂળ, અમોને",http://s768147321.onlinehome.us/DadaReact/PD/page_0725.pdf
Gujarati,,,,,Koiniye Sathe Mattbhed Pade Tyare,કોઈનીયે સાથે મતભેદ પડે ત્યારે,http://s768147321.onlinehome.us/DadaReact/PD/page_0726.pdf
Gujarati,,,,janma jayanthi-garba,Jiyo Ajanma Samaysar Re,જિયો અજન્મા સમયસાર રે,http://s768147321.onlinehome.us/DadaReact/PD/page_0728.pdf
Gujarati,,,,,Andhara Koti Varshna Pal Sathma,અંધારા કોટિ વર્ષના,http://s768147321.onlinehome.us/DadaReact/PD/page_0733.pdf
Gujarati,,,,,Devo ne Aavahan - Andhara Koti Varshna,દેવોને આવાહન - અંધારા કોટિ વર્ષના,http://s768147321.onlinehome.us/DadaReact/PD/page_0733.pdf
Gujarati,,,,,Sarvsva Amaru Arpan Chhe,"સર્વસ્વ અમારૂં અર્પણ છે, ભગવાન તમારા",http://s768147321.onlinehome.us/DadaReact/PD/page_0733.pdf
Gujarati,,,,,Prath-Vidhi,પ્રાતઃવિધિ,http://s768147321.onlinehome.us/DadaReact/PD/page_0734.pdf
Gujarati,,,,,Shri Prapt:Vidhi,શ્રી પ્રાતઃવિધિ,http://s768147321.onlinehome.us/DadaReact/PD/page_0734.pdf
Gujarati,,,,,Namaskar Vidhi,નમસ્કાર વિધિ,http://s768147321.onlinehome.us/DadaReact/PD/page_0735.pdf
Gujarati,,,,,Nav Kalamo,નવ કલમો,http://s768147321.onlinehome.us/DadaReact/PD/page_0737.pdf
Gujarati,,,,,Shudhatma Pratye Prarthna,શુદ્ધાત્મા પ્રત્યે પ્રાર્થના,http://s768147321.onlinehome.us/DadaReact/PD/page_0740.pdf
Gujarati,,,,,Pratikraman Vidhi,પ્રતિક્રમણ વિધિ,http://s768147321.onlinehome.us/DadaReact/PD/page_0741.pdf
Gujarati,,,,,Shri Pratikraman Vidhi,શ્રી પ્રતિક્રમણ વિધિ,http://s768147321.onlinehome.us/DadaReact/PD/page_0741.pdf
Gujarati,,,,,Sant Purushonu Yogbal,સંત પુરૂષોનું યોગબળ,http://s768147321.onlinehome.us/DadaReact/PD/page_0742.pdf
Gujarati,,,,,Sarv Mangal Manglik,સર્વ મંગલ માંગલીક,http://s768147321.onlinehome.us/DadaReact/PD/page_0742.pdf
Gujarati,,,,,Dada Sharanam Gachchhami,દાદા શરણં ગચ્છામિ,http://s768147321.onlinehome.us/DadaReact/PD/page_0743.pdf
Gujarati,,,,,Dada Sharanam Gachchhami (OM Rheem),દાદા શરણં ગચ્છામિ (ૐ હ્રીં),http://s768147321.onlinehome.us/DadaReact/PD/page_0734.pdf
Gujarati,,,,,Om Rheem Dada Sharanm Gachchhami,ૐ હ્રીં દાદા શરણં ગચ્છામિ,http://s768147321.onlinehome.us/DadaReact/PD/page_0734.pdf
Gujarati,,,,,Shri Simandhar Swami Aarti,શ્રી સીમંધર સ્વામી આરતી,http://s768147321.onlinehome.us/DadaReact/PD/page_0127.pdf
Gujarati,,,,,Shri Simandhar Swami no Divo,શ્રી સીમંધર સ્વામીનો દીવો,http://s768147321.onlinehome.us/DadaReact/PD/page_0098.pdf
Gujarati,,,,,Simandhar Swami Aarti,સીમંધર સ્વામી આરતી,http://s768147321.onlinehome.us/DadaReact/PD/page_0127.pdf
Gujarati,,,,,Simandhar Swami no Divo,સીમંધર સ્વામીનો દીવો,http://s768147321.onlinehome.us/DadaReact/PD/page_0098.pdf
Gujarati,,,,,Krushna Bhagwanni Aarti,કૃષ્ણ ભગવાનની આરતી,http://s768147321.onlinehome.us/DadaReact/PD/page_0744.pdf
Gujarati,,,,,Shri Krushna Bhagwanni Aarti,શ્રી કૃષ્ણ ભગવાનની આરતી,http://s768147321.onlinehome.us/DadaReact/PD/page_0744.pdf
Gujarati,,,,,Aarti - Shiv Bhagavan,આરતી - શિવ ભગવાન,http://s768147321.onlinehome.us/DadaReact/PD/page_0745.pdf
Gujarati,,,,,Shiv Bhagwanni Aarti,શિવ ભગવાન આરતી,http://s768147321.onlinehome.us/DadaReact/PD/page_0745.pdf
Gujarati,,,,,Shri Shiv Bhagwanni Aarti,શ્રી શિવ ભગવાન આરતી,http://s768147321.onlinehome.us/DadaReact/PD/page_0745.pdf
Gujarati,,,,,Aarti - Divo-1 Mul Divathi Pragato Dipakmal,આરતી - દીવો ૧ - મૂળ દીવાથી પ્રગટો,http://s768147321.onlinehome.us/DadaReact/PD/page_0746.pdf
Gujarati,,,,,Dada Divo: 1 Mul Divathi Pragato Dipakmal,દાદા દીવોઃ ૧ - મૂળ દીવાથી પ્રગટો,http://s768147321.onlinehome.us/DadaReact/PD/page_0746.pdf
Gujarati,,,,,Aarti - Divo-2 Divo kariae bhagwn,આરતી - દીવો ૨ - દીવો કરીએ ભગવન,http://s768147321.onlinehome.us/DadaReact/PD/page_0747.pdf
Gujarati,,,,,Aarti - Krishna Bhagavan,આરતી - કૃષ્ણ ભગવાન,http://s768147321.onlinehome.us/DadaReact/PD/page_0744.pdf
Gujarati,,,,,Aarati - Mul Divathi Pragato Dipakmar,આરતી - મૂળ દીવાથી પ્રગટો દીપકમાળ,http://s768147321.onlinehome.us/DadaReact/PD/page_0746.pdf
Gujarati,,,,,Aarati - Divo Kariye Bhagawan,આરતી - દીવો કરીએ ભગવન,http://s768147321.onlinehome.us/DadaReact/PD/page_0747.pdf
Gujarati,,,,,"Dada' Divo : 2",દાદા દીવોઃ ૨,http://s768147321.onlinehome.us/DadaReact/PD/page_0747.pdf
Gujarati,,,,,Aarti - Dada Bhagavan - Jay Dada Bhagavan,આરતી - જય દાદા ભગવાન,http://s768147321.onlinehome.us/DadaReact/PD/page_0748.pdf
Gujarati,,,,,Dada Arti - Jay Dada Bhagawan,દાદા આરતી - જય દાદા ભગવાન,http://s768147321.onlinehome.us/DadaReact/PD/page_0748.pdf
Gujarati,,,,,Jay Dada Bhagawan,જય દાદા ભગવાન,http://s768147321.onlinehome.us/DadaReact/PD/page_0748.pdf
